,Sentence,sentiment
224,accord ringman finnish paper compani acquir capac paper recycl turn success strategi,Positive
225,compani also said poland profit program launch oborniki steel frame sandwich panel plant,Positive
226,energi execut say high steel price threaten energi explor,Positive
227,tesco sale rise show tent recoveri continu,Neutral
228,finland launch sale mobil phone caus dramat rush mobil retail outlet first day,Neutral
229,nuan held well big gain mayb final move still undervalu major upsid,Positive
230,compani split two part come month essent own oper product suppli enexi own oper grid,Neutral
231,offici disclos contract valu,Positive
232,london lead share today jump almost point market open,Positive
233,third quarter fiscal efor swung net loss eur versu net profit eur correspond period fiscal,Positive
234,group oper loss eur mn profit eur mn,Positive
235,move trigger weak demand forestri equip uncertain market situat,Negative
236,combin compani net sale mln euro mln oper profit mln euro mln,Positive
237,manag director kari inkinen say sponda leas oper develop highli favour,Neutral
238,march goldman sach estim neg prospect norwegian mobil oper norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,Negative
239,tsla steam stock relentless moment,Positive
240,marathon estim valu remain stake protalix million,Positive
241,whitbread share price climb sale growth,Positive
242,incap contract manufactur subsidiari incap corpor finland,Neutral
243,oper profit total eur mn slightli eur mn correspond period,Positive
244,went market yield guidanc area gave us flexibl go,Positive
245,rt stockdemon think short close might play spi high beta revers look worth shot,Positive
246,vdw combin lxe devic enhanc product enabl worker use singl devic perform voic scan keyboard function,Neutral
247,thu method cut work cost fasten plan build process,Negative
248,talentum net sale septemb smaller expect,Neutral
249,copyright afx news afx financi news logo regist trademark afx news limit,Negative
250,lnkd daili phase retest price experienc earli reject retest http,Negative
251,rb reportedli appoint howard davi next chairman,Neutral
252,tesco asda sale fall march discount,Neutral
253,new version import us introduc bim process base detail build inform model,Positive
254,sampo plc jarmo salonen head investor relat group commun tel distribut nasdaq omx helsinki princip media financi supervisori author announc distribut thomson reuter behalf thomson reuter client,Positive
255,barronsonlin see appl year today grow servic busi aapl http,Positive
256,pharmaceut market poland global research data servic publish recent market analysi pharmaceut market poland,Neutral
257,altogeth finnair cancel flight strike,Negative
258,employ togeth health personnel support quit pay part cost nicotin treatment,Positive
259,pretax loss total eur compar loss eur correspond period,Negative
260,order includ ship crane deliv contain feeder built wenchong shipyard china,Neutral
261,copper lead nickel also drop hbo hbo plummet penc say,Neutral
262,goog test day consolid http,Neutral
263,join technopoli kone held variou posit within group recent director servic busi busi develop kone middl eastern oper,Neutral
264,succeed increas market share sold apart comment mr kari kauniskanga head yit intern construct servic,Positive
265,profit ebit compar period,Positive
266,finnish geosentr net sale decreas eur,Neutral
267,plant schedul complet late februari hand area januari two supplier nokia aspocomp group oyj perlo announc plan establish plant within nokia complex togeth invest rs crore,Positive
268,upgrad underperform goldman sach,Neutral
269,slump weir lead ftse record high,Neutral
270,ford struggl face slow truck suv sale surfeit got ta car,Negative
271,royal mail competit law deliveri servic chang ofcom claim,Neutral
272,cooper involv arena partner buy share new joint ventur compani oper alma media home sale vehicl consum advertis marketplac busi,Positive
273,efor plant saarijarvi central finland one largest employ region,Neutral
274,howev rental becom popular,Positive
275,emsa deputi chairman board juri lember told bn wednesday first time heard strike swedish side inform estonian union yet,Negative
276,tesco close new chairman dixon carphon john allan frame,Neutral
277,devic offer multimedia perform along host product applic includ live stock price,Neutral
278,sale climb pct bln eur surpass mln eur consensu figur,Neutral
279,fb turn back earli trade http,Neutral
280,utah capit want next headquart amer sport compani,Neutral
281,old mutual sale buoy emerg market,Neutral
282,dividend payabl februari sharehold record januari,Neutral
283,sale finland decreas januari sale outsid finland drop,Neutral
284,furthermor bung also sign licens agreement sunnuntai carlshamn mejeri brand,Positive
285,kesko corpor stock exchang releas kesko corpor aspo plc today sign agreement aspo acquir share capit ltd subsidiari wholli own kesko,Positive
286,lulu outlook lost revenu rang million million good,Negative
287,mobil commun wireless broadband provid nokia inc nyse nok today set new financi target forecast nokia mobil devic industri also nokia siemen network mobil fix infrastructur relat servic market,Neutral
288,poyri plc addit inform heikki malinen presid ceo poyri plc tel poyri global expert consult engin,Neutral
289,danish compani flsmidth acknowledg violat patent held finnish metso,Negative
290,amanda capit invest privat equiti fund unquot compani mainli europ,Neutral
291,net interest incom eur mn eur mn,Positive
292,jeder kostenlo sech monat lang updat und hat laut eigen aussag die die final version zu beeinflussen,Negative
293,jp morgan expect scala lower nobel biocar growth forecast current guidanc pct well oper margin target current pct,Positive
294,aviva promis higher dividend boost flag share price,Positive
295,addit mid alway onlin enabl full internet brows,Neutral
296,fiskar strong portfolio intern brand includ fiskar iittala gerber silva buster,Positive
297,tesla model x recal add reliabl issu tsla http,Neutral
298,name buyer disclos,Neutral
299,net sale veget oil busi rose eur mn eur mn,Neutral
300,agreement benefon forthcom rang twig integr gp navig mobil phone devic use jointli develop track locat technolog consum commerci applic,Positive
301,follow increas huhtamaki regist share capit number share outstand,Positive
302,three year program expect ensur salomon futur competit compani said,Positive
303,autumn plan expand servic petersburg moscow launch servic yekaterinburg russia fli three time week,Positive
304,compani profit total ls,Positive
305,feder secretari transport commun mexico award poyri mexican partner sintra consult contract connect suburban railway,Positive
306,fda approv astrazeneca drug advanc lung cancer,Negative
307,order includ metso fourth quarter order backlog,Neutral
308,lieksaar oy earlier regard control saarelainen oy individu sharehold sharehold agreement,Positive
309,raguti control finnish breweri report rise beer sale million litr held market share,Positive
310,mcp roll new intraday low bottom picker continu get destroy,Negative
311,compani annual turnov,Neutral
312,branch finland annual revenu finland,Neutral
313,portfolio compris leasabl space vacanc rate roughli let around tenant two largest swedish govern ericsson,Neutral
314,wpp boost sale despit cautiou client,Positive
315,oper target compani remain unchang,Neutral
316,adp news feb finnish retail kesko oyj hel kesbv said today total sale exclud valu ad tax vat stood eur million usd januari,Positive
317,consum well receiv pack fresh meat,Positive
318,correct chapter entireti,Neutral
319,major part deliveri includ differ ac cxe amplifi solut product dinh telecom compani acquir telest last spring,Positive
320,tietoen use nokia intellisync mobil suit wireless email calendar devic manag capabl compani extend servic custom,Positive
321,provid heat form hot water sawmil need,Neutral
322,howev net sale declin eur million eur billion,Neutral
323,second quarter raut net loss narrow eur eur million period,Negative
324,dgi technic alert gilligan island buy setup stochast buy signal lizard bullish hammer candlestick wid http,Neutral
325,record date dividend distribut march,Neutral
326,h move enhanc growth,Positive
327,ebrd use fund provid million loan b portion million euro syndic two finnish commerci bank nordea bank finland plc million euro pohjola bank plc million euro,Neutral
328,stockholm march cybercom cybercom group consult offer global sourc solut,Positive
329,said lose five famili month economi mani make altern arrang save money,Positive
330,milan afx italian ship group grimaldi increas stake finnish compani finnlin pct pct held june accord news agenc ansa,Positive
331,comment deal shane lennon svp market product develop gypsii said,Neutral
332,extern net sale print busi fell partli due termin print contract print hous oy sector player hss media ab decemb fall print price,Neutral
333,group intend reloc warehous offic space loudeac saint marcel morvillar east countri alreadi oper hook manufactur distribut unit,Neutral
334,firm headquart vantaa southern finland employe,Neutral
335,pm omx helsinki pct lower omx helsinki pct volum mln eur,Negative
336,honor recogn gartner specialist busi process model analysi compani mani largest softwar vendor world,Positive
337,westpac bank corp issu benchmark year frn deal euro,Neutral
338,includ compani brand share data categori well distribut channel data,Positive
339,new share subscrib stock option sharehold right commenc date enter trade regist,Positive
340,aapl price momentum weaken go close,Negative
341,acquisit solteq expand solut offer microsoft dynam busi softwar product,Positive
342,compani profit total ls,Positive
343,leed intern recogn green build certif system develop green build council,Neutral
344,howev market share shrank per cent per cent year earlier,Positive
345,talktalk hire bae system investig cyber attack,Negative
346,look like book one way ticket week near lose week lulu http,Neutral
347,ftse led lower glaxosmithklin,Negative
348,exercis price option base safran softwar solut licens mainten sale well result compani,Positive
349,oper result million neg,Negative
350,compani said product volum far indic circuit capabl target output rate tonn per day million tonn year,Positive
351,jun boy geniu report deliv newstex nokia nyse nok huh,Neutral
352,come decis base preliminari econom oper environment find karvinen said,Neutral
353,new major owner aspocomp thailand ltd certain privat person belong immedi circl aspocomp present joint ventur partner saha pathana plc,Positive
354,mln euro mln base acquisit price paid cash rest subscript offer total new ixono share,Positive
355,establish srv group privat finnish construct concern oper finland baltic countri russia,Neutral
356,busi section also includ ahlstrom sustain report,Neutral
357,citi environ economi provid work peopl total turnov compani amount eek bn said chairman supervisori board citi mainor,Neutral
358,jacob support storengi invest develop storag site sinc owner engin,Positive
359,compani earlier said consid differ strateg option struggl mobil oper includ divest hold,Negative
360,sainsburi asda tesco morrison cut petrol price oil fall,Negative
361,barclay sell benchmark indic unit bloomberg,Neutral
362,oper profit fourth quarter fell year earlier,Positive
363,finnish forestri compani wast manag compani lassila tikanoja said plan produc ethanol energi commerci industri wast,Negative
364,ism disclos financi result daili said,Neutral
365,contract cover manufactur instal steel structur,Neutral
366,finnish metal industri solut supplier outotec oyj net profit rose mln euro mln first nine month mln euro mln period,Positive
367,deal know pay cash stock,Negative
368,first nine month compani net profit rose correspond period,Positive
369,aapl turn macd crossov away weekli eod break like,Neutral
370,protalix million cash sale,Negative
371,bearish outsid day tuesday signific day resist still intact opinion sd http,Positive
372,right reserv,Neutral
373,oper nokia support nokia netact network servic manag system,Positive
374,mr priit kasak balti metsamasina owner said compani wish increas valmet market share third coupl year,Positive
375,shire see baxalta deal close expect new rule,Neutral
376,sainsburi cfo roger replac home retail ceo walden,Neutral
377,marathon percent stake plx said accord bloomberg,Neutral
378,simmon elect dcuc chairman portsmouth simmon ceo servic credit union elect chairman defens credit union council term,Positive
379,sanoma news advertis sale decreas year,Neutral
380,pharmaceut market czech republ global research data servic publish recent market analysi pharmaceut market czech republ,Neutral
381,finnish construct compani yit reduc number residenti unit previous announc,Positive
382,cash flow oper recent quarter also reach eight year low,Negative
383,tietoen pct extend recent low last week report dealer said,Negative
384,maritim administr said ship ignor warn ici condit,Negative
385,synergi pharma soar today posit phase result sgyp http,Positive
386,oper profit rose eur mn eur mn correspond period,Positive
387,make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,Negative
388,vrtx vertex monthli lo long term uptrend intract far,Negative
389,financi detail disclos,Neutral
390,includ softwar develop internet mobil telephon content commun softwar financi servic secur applic system integr electron ebrd inform,Positive
391,yit lodg counter claim nest oil total primarili base work carri contract addit cost incur due prolong project,Neutral
392,follow berkshir hathaway appl stock,Neutral
393,total amount subscript price record fund invest equiti,Neutral
394,tsla wave hour chart hammer candl develop close sma might good spot call,Positive
395,strongest growth seen new market russia czech republ slovakia,Positive
396,tower engin creat degre westward lean four time inclin lean tower pisa use diagrid structur align geometr use tekla structur bim build inform model softwar,Positive
397,amer bought salomon adida octob said job cut aim boost competit,Positive
398,acando ab acanb ss fell percent kronor lowest close sinc,Negative
399,measur suominen corpor aim ensur competit flexibl packag busi long term,Positive
400,ifhedieshedi znga short get nervou,Neutral
401,financi statement releas avail publish compani internet page,Neutral
402,world glass come egypt invit visitor around world attend glass world exhibit regist,Positive
403,compar oper profit total eur mn eur mn correspond period repres net sale,Positive
404,raw materi come europ us paid euro us dollar sale take place rubl,Neutral
405,adpnew may finnish cutleri hand tool maker fiskar oyj abp hel fisa said today net profit declin eur million usd first quarter eur million correspond,Positive
406,maximum new share subscrib exercis b option stock option plan,Positive
407,inspect compani strateg strength weak,Positive
408,plan close date provid,Negative
409,lemminkainen group headquart helsinki finland oper sector construct industri civil engin build contract technic build servic build materi industri,Neutral
410,implement deal subject approv finnish competit author,Positive
411,microsoft also churn courtship agre use navteq map servic offer compani nokia bought billion year ago,Positive
412,geosolut team provid intrigu new technolog combin gp technolog togeth social network,Neutral
413,expo signatur show dongguan support dongguan municip govern everi year featur comput accessori softwar commun network product,Positive
414,pharmaceut poland market analysi give clear overview actual situat futur outlook pharmaceut market poland,Positive
415,trade new share right dividend distribut fund start exchang helsinki tomorrow,Positive
416,engin vessel oper liquefi natur ga lng low emiss,Positive
417,among finnish share trade us stora enso close pct lower eur pct eur metso pct eur,Neutral
418,addit present held presid ceo kai telann cfo tuoma itkonen particip opportun discuss member compani manag,Positive
419,chang hold accord chapter section finnish secur market act describ,Positive
420,capman partner abl develop busi continu focu provid qualiti restaur servic custom say christoph wynn ceo papa john russia,Neutral
421,crane would instal onboard two freighter order singaporean ship owner masterbulk,Neutral
422,busi divest gener consolid net sale eur million annual current employe,Neutral
423,adpnew feb finnish real estat investor sponda oyj hel said today slip net loss eur million usd profit eur million,Positive
424,compani bn asset count among five largest sharehold finnish insur ilmarinen varma well finnish state pension fund ver,Positive
425,addit employe laid notic whole workforc laid short period need,Neutral
426,chessnwin iwm chart small cap threaten descend triangl breakdown http,Negative
427,corpor updat c commun ltd finnish technolog group telest corpor omx helsinki report wednesday februari oper profit net sale year,Positive
428,nordea bank sto nda said yesterday hire casper von koskul lead corpor merchant bank capit market unit effect septemb,Positive
429,total need staff cut correspond,Negative
430,finnish fiber plastic product maker suominen corpor said net loss narrow mln euro mln first nine month mln euro mln period,Negative
431,companiesfresnillo share jump silver price break,Positive
432,bluewin secur avail monthli subscript,Positive
433,oper profit eur mn eur mn,Positive
434,finnish raisio diagnost launch new quick test ensur safeti food,Positive
435,cost caus talentum premedia busi area restructur amount mln euro mln includ compani financi result second quarter,Neutral
436,finnish softwar develop baswar oyj said novemb subsidiari baswar order provid softwar contract lifecycl manag unnam medic technolog compani,Positive
437,chain unit centr end,Neutral
438,import thing keep bank exist custom,Positive
439,price stainless steel also rose europ,Neutral
440,sweden gallerix accumul sek denomin sale eur denomin sale,Neutral
441,isrg isrg short http http,Neutral
442,dara break,Neutral
443,total new citycon share nomin valu eur per share subscrib april exercis option base compani stock option plan,Positive
444,aapl sure short hold breath hope miracl lol,Positive
445,manag decid end increas cathod copper capac,Positive
446,imag data produc browser phone server convert bitmap imag sent handset display,Neutral
447,shire say intern synergi goal baxalta deal higher,Neutral
448,one largest project magazin divis sanomawsoy sanoma magazin intern becam launch russian magazin gloriya,Neutral
449,finnish airlin finnair start temporari layoff cabin crew februari,Neutral
450,seller founder compani,Neutral
451,foodservic consum good market serv approxim peopl manufactur unit sever sale offic countri,Neutral
452,acquisit frozen food fish sector long synergi tehtaat busi,Neutral
453,gnrc find support line far,Positive
454,transact agreement metsaliitto purchas share upm,Positive
455,britain ftse fall back ashtead commod pressur,Negative
456,sale seppala diminish per cent,Neutral
457,bbri bye bye sammi hello bb sound like see green tomorrow,Positive
458,capac cut passeng load factor percentag point,Negative
459,rockwel collin provid flight deck cabin inform manag solut busi aircraft oper,Positive
460,floor area yliopistonrinn project sq build gross area total sq total facil let,Negative
461,nflx vision short term consolid movement higher http,Positive
